Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,OriginWac,Dest,DestCityName,DestStateName,DestWac,CRSDepTime,DepDelay,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Flights,Distance,DistanceGroup
2018,9,14,5,2018-09-14,OO,ORD,"Chicago, IL",Illinois,41,GRB,"Green Bay, WI",Wisconsin,45,2030,0.0,0.0,-1.0,2000-2059,25.0,2132,0.0,0.0,-1.0,2100-2159,1.0,173.0,1
2018,9,26,3,2018-09-26,AA,DFW,"Dallas/Fort Worth, TX",Texas,74,SNA,"Santa Ana, CA",California,91,1435,0.0,0.0,0.0,1400-1459,19.0,1544,12.0,0.0,0.0,1500-1559,1.0,1205.0,5
2018,9,15,6,2018-09-15,YX,BOS,"Boston, MA",Massachusetts,13,BUF,"Buffalo, NY",New York,22,1400,0.0,0.0,-1.0,1400-1459,17.0,1536,0.0,0.0,-2.0,1500-1559,1.0,395.0,2
2018,9,13,4,2018-09-13,WN,STL,"St. Louis, MO",Missouri,64,MSP,"Minneapolis, MN",Minnesota,63,1910,0.0,0.0,-1.0,1900-1959,10.0,2030,0.0,0.0,-1.0,2000-2059,1.0,448.0,2
2018,9,6,4,2018-09-06,DL,MSP,"Minneapolis, MN",Minnesota,63,SEA,"Seattle, WA",Washington,93,1805,0.0,0.0,-1.0,1800-1859,19.0,1954,0.0,0.0,-2.0,1900-1959,1.0,1399.0,6
2018,9,12,3,2018-09-12,DL,MSP,"Minneapolis, MN",Minnesota,63,PHX,"Phoenix, AZ",Arizona,81,1125,1.0,0.0,0.0,1100-1159,17.0,1249,0.0,0.0,-2.0,1200-1259,1.0,1276.0,6
2018,9,10,1,2018-09-10,NK,CMH,"Columbus, OH",Ohio,44,FLL,"Fort Lauderdale, FL",Florida,33,600,0.0,0.0,-1.0,0600-0659,11.0,839,0.0,0.0,-1.0,0800-0859,1.0,973.0,4
2018,9,20,4,2018-09-20,MQ,DFW,"Dallas/Fort Worth, TX",Texas,74,LRD,"Laredo, TX",Texas,74,1725,12.0,0.0,0.0,1700-1759,50.0,1844,50.0,1.0,3.0,1800-1859,1.0,396.0,2
2018,9,3,1,2018-09-03,EV,ORD,"Chicago, IL",Illinois,41,MOB,"Mobile, AL",Alabama,51,1920,192.0,1.0,12.0,1900-1959,23.0,2140,181.0,1.0,12.0,2100-2159,1.0,778.0,4
2018,9,12,3,2018-09-12,AS,EWR,"Newark, NJ",New Jersey,21,SEA,"Seattle, WA",Washington,93,600,0.0,0.0,-1.0,0600-0659,20.0,901,0.0,0.0,-1.0,0900-0959,1.0,2402.0,10
2018,9,13,4,2018-09-13,UA,ORD,"Chicago, IL",Illinois,41,ANC,"Anchorage, AK",Alaska,1,1535,0.0,0.0,-1.0,1500-1559,28.0,1929,0.0,0.0,-2.0,1900-1959,1.0,2846.0,11
2018,9,18,2,2018-09-18,MQ,DFW,"Dallas/Fort Worth, TX",Texas,74,MGM,"Montgomery, AL",Alabama,51,1516,35.0,1.0,2.0,1500-1559,11.0,1700,36.0,1.0,2.0,1700-1759,1.0,622.0,3
2018,9,4,2,2018-09-04,UA,IAH,"Houston, TX",Texas,74,LAS,"Las Vegas, NV",Nevada,85,2151,0.0,0.0,-1.0,2100-2159,15.0,2301,0.0,0.0,-2.0,2300-2359,1.0,1222.0,5
2018,9,20,4,2018-09-20,OO,LAX,"Los Angeles, CA",California,91,SAT,"San Antonio, TX",Texas,74,935,30.0,1.0,2.0,0900-0959,20.0,1437,22.0,1.0,1.0,1400-1459,1.0,1211.0,5
2018,9,8,6,2018-09-08,B6,MSY,"New Orleans, LA",Louisiana,72,BOS,"Boston, MA",Massachusetts,13,1253,0.0,0.0,-1.0,1200-1259,15.0,1707,19.0,1.0,1.0,1700-1759,1.0,1368.0,6
2018,9,18,2,2018-09-18,OO,SFO,"San Francisco, CA",California,91,GEG,"Spokane, WA",Washington,93,2000,0.0,0.0,-1.0,2000-2059,35.0,2220,0.0,0.0,-1.0,2200-2259,1.0,733.0,3
2018,9,1,6,2018-09-01,UA,CLE,"Cleveland, OH",Ohio,44,ORD,"Chicago, IL",Illinois,41,1426,36.0,1.0,2.0,1400-1459,20.0,1447,32.0,1.0,2.0,1400-1459,1.0,316.0,2
2018,9,1,6,2018-09-01,YX,SDF,"Louisville, KY",Kentucky,52,PHL,"Philadelphia, PA",Pennsylvania,23,528,9.0,0.0,0.0,0001-0559,12.0,719,12.0,0.0,0.0,0700-0759,1.0,576.0,3
2018,9,8,6,2018-09-08,DL,ATL,"Atlanta, GA",Georgia,34,EWR,"Newark, NJ",New Jersey,21,1954,0.0,0.0,-1.0,1900-1959,15.0,2208,0.0,0.0,-1.0,2200-2259,1.0,746.0,3
2018,9,27,4,2018-09-27,OO,PHX,"Phoenix, AZ",Arizona,81,YUM,"Yuma, AZ",Arizona,81,2155,0.0,0.0,-1.0,2100-2159,8.0,2249,0.0,0.0,-2.0,2200-2259,1.0,160.0,1
2018,9,13,4,2018-09-13,WN,PHL,"Philadelphia, PA",Pennsylvania,23,DEN,"Denver, CO",Colorado,82,905,0.0,0.0,-1.0,0900-0959,16.0,1110,0.0,0.0,-2.0,1100-1159,1.0,1558.0,7
2018,9,18,2,2018-09-18,AA,DFW,"Dallas/Fort Worth, TX",Texas,74,BWI,"Baltimore, MD",Maryland,35,2057,16.0,1.0,1.0,2000-2059,12.0,55,11.0,0.0,0.0,0001-0559,1.0,1217.0,5
2018,9,19,3,2018-09-19,AA,DFW,"Dallas/Fort Worth, TX",Texas,74,MCI,"Kansas City, MO",Missouri,64,720,0.0,0.0,-1.0,0700-0759,11.0,852,0.0,0.0,-1.0,0800-0859,1.0,460.0,2
2018,9,18,2,2018-09-18,DL,SLC,"Salt Lake City, UT",Utah,87,LAS,"Las Vegas, NV",Nevada,85,2212,4.0,0.0,0.0,2200-2259,17.0,2236,0.0,0.0,0.0,2200-2259,1.0,368.0,2
2018,9,19,3,2018-09-19,OO,ORD,"Chicago, IL",Illinois,41,MKE,"Milwaukee, WI",Wisconsin,45,840,0.0,0.0,-1.0,0800-0859,16.0,932,0.0,0.0,-2.0,0900-0959,1.0,67.0,1
2018,9,24,1,2018-09-24,WN,PDX,"Portland, OR",Oregon,92,MDW,"Chicago, IL",Illinois,41,1455,0.0,0.0,0.0,1400-1459,6.0,2050,0.0,0.0,-2.0,2000-2059,1.0,1751.0,8
2018,9,28,5,2018-09-28,OO,DCA,"Washington, DC",Virginia,38,ORD,"Chicago, IL",Illinois,41,1445,0.0,0.0,-1.0,1400-1459,15.0,1557,0.0,0.0,-2.0,1500-1559,1.0,612.0,3
2018,9,13,4,2018-09-13,WN,STL,"St. Louis, MO",Missouri,64,MCI,"Kansas City, MO",Missouri,64,2125,18.0,1.0,1.0,2100-2159,13.0,2220,19.0,1.0,1.0,2200-2259,1.0,237.0,1
