Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,ArrTimeBlk,Flights,Distance,Day Average Temp,High Temp,Low Temp,Max Wind Speed,Precipitation,Sea Level Pressure
2016,1,13,3,2016-01-13,WN,ATL,"Atlanta, GA",Georgia,DEN,"Denver, CO",Colorado,1000,-3.0,0.0,1000-1059,13.0,1100-1159,1.0,1199.0,39.33,50.0,30.0,14.0,,29.16
2016,1,8,5,2016-01-08,AA,BOS,"Boston, MA",Massachusetts,LGA,"New York, NY",New York,1500,-3.0,0.0,1500-1559,22.0,1600-1659,1.0,184.0,,,,,,
2016,1,27,3,2016-01-27,DL,DTW,"Detroit, MI",Michigan,SEA,"Seattle, WA",Washington,2008,-1.0,0.0,2000-2059,19.0,2200-2259,1.0,1927.0,29.82,34.0,27.0,20.0,,29.53
2016,1,14,4,2016-01-14,DL,PNS,"Pensacola, FL",Florida,ATL,"Atlanta, GA",Georgia,725,143.0,1.0,0700-0759,11.0,0900-0959,1.0,271.0,,,,,,
2016,1,19,2,2016-01-19,AS,SEA,"Seattle, WA",Washington,SMF,"Sacramento, CA",California,1210,-2.0,0.0,1200-1259,16.0,1300-1359,1.0,605.0,,,,,,
2016,1,16,6,2016-01-16,AS,LAX,"Los Angeles, CA",California,SEA,"Seattle, WA",Washington,1710,0.0,0.0,1700-1759,12.0,2000-2059,1.0,954.0,,,,,,
2016,1,10,7,2016-01-10,WN,HOU,"Houston, TX",Texas,MDW,"Chicago, IL",Illinois,830,-7.0,0.0,0800-0859,12.0,1100-1159,1.0,937.0,44.19,52.0,39.0,17.0,,30.29
2016,1,6,3,2016-01-06,WN,ATL,"Atlanta, GA",Georgia,FLL,"Fort Lauderdale, FL",Florida,1920,2.0,0.0,1900-1959,14.0,2100-2159,1.0,581.0,36.63,44.0,26.0,18.0,,29.36
2016,1,30,6,2016-01-30,WN,HOU,"Houston, TX",Texas,ATL,"Atlanta, GA",Georgia,1830,-4.0,0.0,1800-1859,15.0,2100-2159,1.0,696.0,62.67,75.0,48.0,20.0,,29.95
2016,1,8,5,2016-01-08,UA,MIA,"Miami, FL",Florida,IAH,"Houston, TX",Texas,1800,-3.0,0.0,1800-1859,14.0,1900-1959,1.0,964.0,,,,,,
